Discipline;Modèles-de-réponse-à-l-item;Analyses-factorielles-non-linéaires;Construction-de-tests;Structure-et-mesure-des-émotions;Variabilité-intra-individuelle;Facteurs-de-personnalité;Conduites-addictives;Apprentissage-par-renforcement;E-learning;Algorithmes-d-optimisation;Analyse-statistique-de-causalité;Criminologie;Modèles-du-changement-comportemental;Programmation-d-interface;Exerciseurs-facteurs-psycho-sociaux;Exerciseurs-testing-adaptatif;Ecriture;Relation-perception-motricité;Mathématiques;Motricité-manuelle;Apprentissage;Développement;Travail-collaboratif;Interactions-sociales;Performances-cognitives;Socio-performances;Feedback;Formation-adulte;Environnements-numériques-et-technologiques;Influence-sociale;Croyances-sur-soi;Education;Orientation-scolaire-et-professionnelle;Désengagement-psychologique;Relations-interpersonnelles;Groupe/equipe;Bien-être-satisfaction-professionnelle;Vieillissement;Interventions-cognitives;Perception-visuelle;Illusions;Couleur;Perception-du-temps;Reconnaissance-d-objet;Attention;Résolution-de-problèmes;Flexibilité-cognitive;Retard-mental;Motivation;Difficultés-de-lecture;Catégorisation;Magie;Comportements-prosociaux;Normes-de-genre;Mct-mdt;Ergonomie-des-environnements-de-travail;Compréhension;Charge-cognitive;Modèles-mentaux;Mémoire;Langage;Médias;Communication-publicitaire;Réalité-augmentée;Comportement-du-consommateur;Psychologie-de-la-personnalité;Différences-interindividuelles;Apprentissage-par-le-jeu;Réalité-virtuelle;Sens-commun;Croyances;Représentations-sociales;Ergonomie-des-environnements-d-apprentissage;Genre;Homosexualité;Homophobie;Famille-homoparentale;Transsexualité;Environnement;Développement-durable;Agriculture;Changement-climatique;Eau;Risque-côtier;Risque-sanitaire;Temps;Gestion-des-problèmes-environnementaux;Alimentation;Trouble-du-comportement-alimentaire;Santé;Corps;Construction-de-la-confiance;Risques;Jugement;Souffrance-au-travail;Décroissance;Violence;Conditions-de-travail;Hygiène;Religion;Allaitement-maternel;Mémoire-sociale;Bière;Processus-d-acculturation-;Psychologie-interculturelle;Empathie;Relations-intergroupes;Présentation-de-soi;Normes-sociales;Psychologie-expérimentale;Histoire-du-laboratoire;Chronopsychologie;Modélisation-neuromimétique;Apprentissage-Mémoire-Oubli;Détection-Alzheimer;Sécurité-routière;Innovation;Ingénierie-psychologique;Dissonance-cognitive;Engagement;Accompagnement-du-changement;Pied-dans-la-porte;Porte-au-nez;Mobilité;Clairvoyance-normative;Agilité-organisationnelle;Conscience-morphologique;Apprentissage-lecture;Reconnaissance-des-mots-écrits;Handicap;Troubles-des-apprentissages;Apprentissage-implicite;Développement-métalinguistique;Surdité;Inférences;Communication;Emotion;Apprentissage-du-vocabulaire
PsyCog;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PsyCog;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PsyCog;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0
PsySoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PsyCog;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PsySoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PsyDiff;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PsySoc;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
PsySoc;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PsySoc;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PsySoc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
